platform,product,text,sentiment_label,sentiment_score
youtube,Google Nest Mini,"I work in a shop with a guy who plays classic rock on one of these things all day for the last year.  This tin foil speaker sounds absolutely terrible.  Any time an electric guitar is leading a piece, it sound likes screeching and tearing noises.  Want to find out how bad music can sound?   This speaker will show you.  There is a reason for all the comments of people getting it for free.  The quality is shit, and it just sucks you farther into Google's web of manipulating everybody.",Neutral,-0.09259259259259259
youtube,Google Nest Mini,"Amazon Alexa is the best for home automation, it has the most skills.
Also, Google can't add a device to more than 1 room or group; example: kitchen and family room are adjacent to each other and I want the lights in both room to turn 
off if I say all, as well as independently turning off either room.
Alexa is inexpensive so I bought 8 to equip every room with Amazon Alexa for voice control so that I can just ask 'turn off the lights' and the echo in that room 

knows to turn off those lights and not other lights in the house.
Google app's fonts are really really really tiny for my old eyes.
All 8 of my Amazon Echo devices have a clock... very convenient to tell the time or see a timer's countdown.
or better sound, I have a few of my Amazon Echo dot 3 with clock output the sound via its 3.5mm headphone jack to my Denon HEOS speakers.",Positive,0.2567307692307692
youtube,Google Nest Mini,"I just use it as a speaker in my bathroom, the only time I as it a question it’s usually weather related",Neutral,-0.08333333333333333
youtube,Google Nest Mini,Be a man and clip those fingernails...,Neutral,0.0
youtube,Google Nest Mini,"they are garbage, and useless. i have a radio. and a cell phone. and hands. guess i'm lucky.",Neutral,-0.08333333333333334
youtube,Google Nest Mini,how do i connect to settings i have apple music,Neutral,0.0
youtube,Google Nest Mini,does Kasa bulbs work with Nest mini? cuz they work on the google pixel,Neutral,0.0
youtube,Google Nest Mini,keeps on asking you tube music subscription...dont buy if u dont want to pay for premium service.,Neutral,0.0
youtube,Google Nest Mini,It's a piece of junk it doesn't work.,Neutral,0.0
youtube,Google Nest Mini,Google nest mini is utterly crap.i,Neutral,0.0
youtube,Google Nest Mini,"It's crap,it doesn't work.",Neutral,0.0
youtube,Google Nest Mini,"This piece of junk doesn't work,nest mini is junk.",Neutral,0.0
youtube,Google Nest Mini,Google nest Mini is CRAP,Negative,-0.8
youtube,Google Nest Mini,"Josh’s bathroom speaker. Yeah, I see myself doing that 🤔",Neutral,0.0
youtube,Google Nest Mini,Should be illegal to call this device Smart!,Negative,-0.11607142857142858
youtube,Google Nest Mini,"I don't get it. What's the point of this thing if any android does the same things with ""ok google"".",Positive,0.25
youtube,Google Nest Mini,This product is a inconsistent inconvenient sooo lame,Negative,-0.55
youtube,Google Nest Mini,Thing is terrible lol,Neutral,-0.09999999999999998
youtube,Google Nest Mini,"The mini is not compatible with many home routers supplied by their ISP's at least here in the UK , I  had nothing but problems setting mine up I am pretty competent with IT talked with google this is partly what they say Disable: AP / client isolation, virtual private networks (VPNs), proxy servers, IGMP Proxy. VPNs and proxy servers should be disabled on your computer as well (if applicable).in short Google wants you to purchase their routers their products, to go through all this nonsense ,  nah what I have now is two hockey pucks,  lool  I don't have proxy servers running or vpn's but the ap is not an option on the router, now If I purchase a google router it should work, that's the idea, upselling",Positive,0.11875
youtube,Google Nest Mini,Flipkart just gave me it free with a mobile,Positive,0.4
youtube,Google Nest Mini,You can do Apple Music,Neutral,0.0
youtube,Google Nest Mini,"5:26 ""Sexy time"" - 3 actions",Positive,0.5
youtube,Google Nest Mini,Hey Google you have to say all the time,Neutral,0.0
youtube,Google Nest Mini,"I just bought one, and I can't believe this devices don't have a battery to function. I mean, great technology, sure, inside a freaking primitive appliance.",Positive,0.32916666666666666
youtube,Google Nest Mini,"Google nest mini is total crap,just like the Google home app,both useless and unusable.,nest mini is only fit to have the cable cut off and use as a paperweight.",Neutral,-0.024999999999999994
youtube,Google Nest Mini,Disconnects daily.   Useless unless you want to have to set up afresh every day.,Negative,-0.25
youtube,Google Nest Mini,Everyone’s getting them with YouTube Premium and Spotify And Pandora but I got mine from a hardware store,Neutral,0.0
youtube,Google Nest Mini,"I just bought one today, and I've had spotify premium for about five years now ... Im mad",Negative,-0.625
youtube,Google Nest Mini,Do I necessarily need a Spotify premium to listen to music?,Neutral,0.0
youtube,Google Nest Mini,I like that the songs perfectly transitioned from speaker to speaker. it makes it easier to compare,Positive,1.0
youtube,Google Nest Mini,"Constantly disconnects, pauses and does all sorts of random things. Can't use it as a Bluetooth speaker either. It's a dumb smart speaker",Negative,-0.16517857142857142
youtube,Google Nest Mini,5:19 What the heck is 'sexy time' doing in the routines?,Positive,0.5
youtube,Google Nest Mini,I got it for free but gonna sell it. Already have a speaker,Positive,0.4
youtube,Google Nest Mini,*you look like randomfrankp*,Neutral,0.0
youtube,Google Nest Mini,can i still play music on a nest mini if my phone is on downtime?,Neutral,0.0
youtube,Google Nest Mini,8:24 Yeah... WELCOME TO AN ADHD PERSON'S WORLD,Positive,0.8
youtube,Google Nest Mini,Reading the comments got me mad cus I've been a subscriber of spotify and yt premium for years and didn't get a nest mini for free bruh,Negative,-0.11249999999999999
youtube,Google Nest Mini,People saying they got one 😭I have been a premium member for a year why didn't I get this???,Neutral,0.0
youtube,Google Nest Mini,Just got one for free at Christmas . Not sure if I want any more “smart” technology intruding into my home to be honest. Right now it’s still in the box and ready to dump. What would the likes of Edward Snowden think of this device?????,Positive,0.2785714285714286
youtube,Google Nest Mini,wake up ppl they give this thing for free bc this way they can hear everything u say in your home all your conversations are being monitored by google..,Positive,0.4
youtube,Google Nest Mini,Amazing things lmao. Yeah bro im pretty sure we're passed the alarm is an amazing invention fase,Positive,0.51
youtube,Google Nest Mini,Link to Duck Duck so it works as a search engine.,Neutral,0.0
youtube,Google Nest Mini,Why do you have the Google nest mini outside? Is it waterproof,Neutral,0.0
youtube,Google Nest Mini,I got a Google Nest Audio (a bigger version of the mini) for like $40 at Walmart because it was on clearance.,Neutral,0.0
youtube,Google Nest Mini,10 dollars used on mercari,Neutral,0.0
youtube,Google Nest Mini,100 dollars where I live,Positive,0.13636363636363635
youtube,Google Nest Mini,Is that epic game that I see on a MacOS  what are you gonna be installing? Because I know it's not Fortnite.,Negative,-0.15000000000000002
youtube,Google Nest Mini,"In my country the economy is super broken, yet for 75 bucks you can get a 2 gen google nest hub",Neutral,-0.033333333333333354
youtube,Google Nest Mini,Why would i need this? i have a phone,Neutral,0.0
youtube,Google Nest Mini,Aa so it does the same things as my phone?,Neutral,0.0
youtube,Google Nest Mini,"Whats the IP rating? Is it good to use in the bathroom? 
( _not in the shower_ )",Positive,0.7
youtube,Google Nest Mini,2019 GOOGLE NEST MINI TECH SPURT,Neutral,0.0
youtube,Google Nest Mini,I bought this thinking this is wireless no way u need to have it plugged in,Neutral,0.0
youtube,Google Nest Mini,None of it is silicone right??,Positive,0.2857142857142857
youtube,Google Nest Mini,"Not worth it anymore, google is getting dumber by the day",Negative,-0.15
youtube,Google Nest Mini,"Can Google Nest Mini Hands-Free Smart Speaker, 2nd Gen be used with google nest camera doorbell?",Positive,0.10714285714285714
youtube,Google Nest Mini,"Hey great video, First time here and NICLY done.. AT&T just sent me one for FREE and I'm thinking about selling or keeping it.. After watching I will sell it. I don't want a device to hear my thoughts, feeling, world.. I like my privacy",Positive,0.4833333333333334
youtube,Google Nest Mini,"Google mini is the worst purchase I ever made.  AI?  How about Artificial Stupidity?  I've owned it for years.  Once in a while, it deletes an alarm you set without it warning you.  So don't count on it.   The speaker is terrible for music...""it sounds better"" than listening to a tin can attached to a string.  Don't buy it.",Negative,-0.54
youtube,Google Nest Mini,Yea i will passed on this 🤨,Neutral,0.0
youtube,Google Nest Mini,Do we have to have WiFi to use this?? or is it normal!! Like we dont need the WiFi!!!,Positive,0.457763671875
youtube,Google Nest Mini,This thing is a piece of garbage. Dont buy one,Neutral,0.0
youtube,Google Nest Mini,"Ni build in battery 😂😂😂😂😂
Everything had a battery
What are they doing 😢",Neutral,0.0
youtube,Google Nest Mini,Can we have radio on it?,Neutral,0.0
youtube,Google Nest Mini,Does anyone know how to do 2different ones together or is it a case of buying two and connecting them together?,Neutral,0.0
youtube,Google Nest Mini,Hi can I ask what should I do to my Google nest mini 2 because it continue to disconnect to my phone,Neutral,0.0
youtube,Google Nest Mini,I actually bought one like two days ago and it’s going to be delivered on Wednesday or Thursday. So I figured I’d watch some reviews,Neutral,0.0
youtube,Google Nest Mini,"Just got this, the same colour 2nd gen",Neutral,0.0
youtube,Google Nest Mini,Do you need wifi for this? Or can you just use data,Neutral,0.0
youtube,Google Nest Mini,How do I get youtube music history.,Neutral,0.0
youtube,Google Nest Mini,"A positive product advertisement 
No mention of set up issues 
Misleading for sure",Positive,0.36363636363636365
youtube,Google Nest Mini,Who is here because they didn't get this out of nobody.,Neutral,0.0
youtube,Google Nest Mini,Can the nest answer a call?,Neutral,0.0
youtube,Google Nest Mini,I’m here because I got one free when I bought a tv 😃,Positive,0.4
youtube,Google Nest Mini,Whos here caz got it for ₹1 from flipkart on purchase of your new Pixel phone😂,Positive,0.13636363636363635
youtube,Google Nest Mini,"Lol, when you said ""Hey Google, what's the weather like today it launched it on my phone and told me the weather. 
I get mine for free on Saturday",Positive,0.6000000000000001
youtube,Google Nest Mini,what a wanker !  people want to know how to use the thing and here you are talking about what color it comes in.  what a waste of time  I wish i could give 100000 thumbs down !,Negative,-0.19722222222222224
youtube,Google Nest Mini,I love the design and colour!,Positive,0.625
youtube,Google Nest Mini,Ok this stupid thing wont work the way I want it to. I believe others in the apartment have their own and as a result it keeps trying to connect to theirs or to other people's phones who dont even use google home. How do I private it so NOBODY can see or interact with my music? I want to listen to my shit but it always seems to turn off and looks like its connecting to other devices. My roommate was complaining that something kept popping up but idk if that was me or not. Ive tried googling for hours but cant find answers to my questions,Neutral,-0.021428571428571425
youtube,Google Nest Mini,I have the same exactly one even the same color,Neutral,0.08333333333333333
youtube,Google Nest Mini,mine doesn’t have the four dotes when you plug it in…,Neutral,0.0
youtube,Google Nest Mini,Just wondering if it responds to random conversation for Google nest since you said that there is machine learning,Negative,-0.5
youtube,Google Nest Mini,What kind of phone were you using?,Positive,0.6
youtube,Google Nest Mini,which phone are you holding?,Neutral,0.0
youtube,Google Nest Mini,Thank you for finding me deeply desirable :'),Neutral,0.0
youtube,Google Nest Mini,I bet the people who paid £49 feel robbed at its new price of £19.,Positive,0.13636363636363635
youtube,Google Nest Mini,There are no dislikes,Neutral,0.0
youtube,Google Nest Mini,sounds accessible for registered blind people,Neutral,-0.0625
youtube,Google Nest Mini,Can this play any FM radio? Do I need YouTube premium or spotify to listening music?,Neutral,0.0
youtube,Google Nest Mini,"After a while I started to use it there are major issues with it, 
~ restarting every week from app and I need to pair again (hard reset didn’t help)
~ stream reading error, only first 10 sec are loaded from spottfify (hard reset helps )
~ loosing all devices connected, for example philips lights
IMHO it’s not ready as a product.",Neutral,-0.06726190476190476
youtube,Google Nest Mini,Why does that remind me of a giant macaroon ?  But still...considering this or Amazon Echo.,Neutral,0.0
youtube,Google Nest Mini,Can't play music because of copyright stupid world is not a free world is not,Negative,-0.5
youtube,Google Nest Mini,Apparently everyone got a free one 🤷🏾‍♂️,Positive,0.225
youtube,Google Nest Mini,"Can't you mute ""OK Google"" in your video? Sure you aware about others viewers may have some Google devices on the room 🤔",Positive,0.4166666666666667
youtube,Google Nest Mini,"Nest mini is crap,just like the Google home app.",Neutral,0.0
youtube,Google Nest Mini,"Can I have multi user in different devices run the google home mini? Like my wife's phone, my son tablet etc.?",Neutral,0.0
youtube,Google Nest Mini,I use it as a paperweight.,Neutral,0.0
youtube,Google Nest Mini,I just want to know what it’s for 😩 like what does it do?,Neutral,0.0
youtube,Google Nest Mini,"I came here because I found one in my local electrical recycling bin.  I fished it out because I had no idea what it was and I was curious to find out what it was.  I set it up and it works fine so that was lucky, I don't know why somebody discarded it.",Positive,0.16249999999999998
youtube,Google Nest Mini,"Who’s actually here because they paid for it and is lazy to read the manual? 
(lol p.s. I’m sad that I didn’t get mine for free haha heartbreaks*)",Positive,0.1285714285714286
youtube,Google Nest Mini,why is everyone getting theirs for free i had to pay for mine 😭,Positive,0.4
youtube,Google Nest Mini,I just got mine January 2021 🤗,Neutral,0.0
youtube,Google Nest Mini,Everyone got theirs for free while i got mine for $50 💀,Positive,0.4
youtube,Google Nest Mini,Definitely buying a Google Nest Mini Whenever I get a Chance and I can't Wait 😁,Neutral,0.0
youtube,Google Nest Mini,Hating it so far...it was a gift...think I'll pass it on as even the app is too hard to find!!!  What use is it???,Negative,-0.5696614583333335
youtube,Google Nest Mini,Jokes on you I got alexa 2020 (4thgen,Neutral,0.0
youtube,Google Nest Mini,mine won’t speak back!,Neutral,0.0
youtube,Google Nest Mini,"How do I get it to work through the speaker instead of through the phone? I thought it worked as a speaker, too!",Neutral,0.0
youtube,Google Nest Mini,Do you need wifi to use it?,Neutral,0.0
youtube,Google Nest Mini,This device is a bag of shit....no built in battery ....instant fail,Negative,-0.5
youtube,Google Nest Mini,"mine arrived today, I got for free from Spotify premium 😀I like so far, although I had to wait a long time for it to arrive",Positive,0.15
youtube,Google Nest Mini,Thank you. Love your reviews.  Entertaining and to the point.  Great review. Thank you for the help. :),Positive,0.575
youtube,Google Nest Mini,I feel like I’m the only one who paid for mine,Neutral,0.0
youtube,Google Nest Mini,Who is here because they don’t buy any premiums and want everything free. But bought the mini and want to set up lol,Positive,0.6000000000000001
youtube,Google Nest Mini,Everybody here got it free from somewhere wtf :((,Negative,-0.2833333333333333
youtube,Google Nest Mini,Who is here because the got one free from SiriusXM?,Positive,0.4
youtube,Google Nest Mini,At Kohl's they have it for $18.00 I'm waiting to get paid to buy me one before they go back to $49.99,Neutral,0.0
youtube,Google Nest Mini,Who all here cause they stole one 😂🤫💯,Neutral,0.0
youtube,Google Nest Mini,Thanks for the great videos. Can you connect the Mini to your chromebook as a wireless speaker and can you do two possibly?,Positive,0.3333333333333333
youtube,Google Nest Mini,No one is gonna mention the evangelion wallpaper? No? Ok.,Neutral,0.0
youtube,Google Nest Mini,Who’s here because they actually bought one,Neutral,0.0
youtube,Google Nest Mini,Super cool i got mine also,Positive,0.3416666666666667
youtube,Google Nest Mini,I got a free one from sirius xm,Positive,0.4
youtube,Google Nest Mini,silly change to get rid of the micro usb.,Negative,-0.5
youtube,Google Nest Mini,Who's here because they got a free one from Pandora,Positive,0.4
youtube,Google Nest Mini,"I'm thinking about buying a Google Nest Mini whenever I get a Chance, it's a good thing that Christmas is Coming Up",Positive,0.7
youtube,Google Nest Mini,I got mine free from a school bank thing,Positive,0.4
youtube,Google Nest Mini,Here because I got a free one from Pandora !! Thanks Pandora ♥️,Positive,0.4125
youtube,Google Nest Mini,who is here after they got one free from pandora,Positive,0.4
youtube,Google Nest Mini,"Everyone here for some premium shit, bitch I’m here because my best friend’s mom gave it to me for free 👁👄👁",Positive,0.4000000000000001
youtube,Google Nest Mini,Who's here because they got one of these and it helps with not talking to yourself all the time because you know you're being recorded so it either helps or makes talking to yourself worse peace out,Negative,-0.4
youtube,Google Nest Mini,Who is here because of 'web and app activity'.,Neutral,0.0
youtube,Google Nest Mini,"Total crap and espionage device... F**** Google devices,, it collect sensitive personal data without your consent! How gangster  is that 😠😈",Negative,-0.17500000000000002
youtube,Google Nest Mini,"My mission in life is to ""dislike"" any video where anyone says this ""bad-boy""!",Neutral,0.0
youtube,Google Nest Mini,"Who is here because they didn't get a free one from Spotify, as they'd run out, then had to buy one?☹️",Positive,0.4
youtube,Google Nest Mini,Lol. Mine arrived today,Positive,0.8
youtube,Google Nest Mini,Where are my Spotify premium gang at?,Neutral,0.0
youtube,Google Nest Mini,Just placed my order for my free one from SiriusXM.,Positive,0.4
youtube,Google Nest Mini,“Who is here because they got a free one from...” SHUT THE FUCK UP,Neutral,0.0
youtube,Google Nest Mini,Why did Spotify give us this for free 🤔,Positive,0.4
youtube,Google Nest Mini,"Bro, you’re being too hard on this great entry-level device",Positive,0.25416666666666665
youtube,Google Nest Mini,All negative review hahaha,Neutral,-0.04999999999999999
youtube,Google Nest Mini,bro sometimes you have to look at the positive side dude,Positive,0.22727272727272727
youtube,Google Nest Mini,Got it for free care less if it sucks,Neutral,-0.02222222222222221
youtube,Google Nest Mini,Thought this was faze apex,Neutral,0.0
youtube,Google Nest Mini,"Uh, there is a bass difference try the eq",Negative,-0.15000000000000002
youtube,Google Nest Mini,"Honestly I don’t mind the look 
Try finding volume controls in the dark with an echo

And also they added a feature where if your hand gets near it it will turn on the light",Positive,0.2375
youtube,Google Nest Mini,"Regarding the cable colour and wall mounting... People are more likely to have a white wall than black. 
Also ""why didn't they include usb c long wire ?"" 
You can just as easily by a longer micro USB cable instead of an ""ugly extension adapter""...
Lots of nitpicking here",Neutral,0.002380952380952404
youtube,Google Nest Mini,You actually reviewed it really bad on purpose which the google nest is actually amazing you just don’t know how to use it,Neutral,-0.03333333333333325
youtube,Google Nest Mini,I had the google mini & upgraded to the nest mini.I love it but my only pet peeve with the nest is to wake it up after every question.... hey google what time is it ? hey google whats the Temp etc pretty annoying.Unless there is something i'm missing ?,Positive,0.1375
youtube,Google Nest Mini,I got my freebie today. It still has the lag problem when casting for video's as the Google Audio had.,Neutral,0.0
youtube,Google Nest Mini,"I got one coming for free. As I am a YouTube premium subscriber, I was given one as a present)",Positive,0.2
youtube,Google Nest Mini,i like it not a mumble right guys,Positive,0.2857142857142857
youtube,Google Nest Mini,Excellent review. Thanks.,Positive,0.6
youtube,Google Nest Mini,NO! STOP TRYING TO GET THESE DEVIL POTS INTO MY HOME!,Neutral,0.0
youtube,Google Nest Mini,"Dosto video achi lage to video ko like aur apne friends ke sath share kare. Ye rahe video ke timestamps
00:00 Unboxing
01:56 In Depth Review
03:06 Setup
04:09 Controls
04:34 Google Assistant Demo
05:42 Sound Demo
06:44 Bluetooth Paring 
07:12 Hindi 
07:32 Smart Home Accessories
07:49 Wipro Garnet LED Bulb Unboxing 
08:35 Bulb Setup
09:22 Smart Bulb Demo
10:00 Routines",Positive,0.2761904761904762
youtube,Google Nest Mini,"Bro my assistant is firing when you say ok Google
Jab mai bolu to sunti nahi😂",Positive,0.5
youtube,Google Nest Mini,Volume up karne se power off ho jata h 😢 please solution bata do nnn😊,Neutral,0.0
youtube,Google Nest Mini,"Best review ever bro.. kaafi mehnat and search baad ye video banaya hai ye pata chalta hai...
Every information is covered in this review.
Thanks.",Positive,0.6
youtube,Google Nest Mini,Sir isko rest krna ho to kese kare qki isme koi switch najar nhi aa raha h,Neutral,0.0
youtube,Google Nest Mini,Which phone are you using in this video?,Neutral,0.0
youtube,Google Nest Mini,Kitne watt ka hai speaker.......,Neutral,0.0
youtube,Google Nest Mini,"*I like the old style Echo Dot because it's small also **Newest.Technology**, gives out decent sound and doesn't take up a lot of shelf space if you want to put it on beam in the workshop or shed.*",Positive,0.10416666666666667
youtube,Google Nest Mini,Can you link the product here? Also can we play radio FM from phone on this speaker? My boat speakers don't play radio from phone,Neutral,0.0
youtube,Google Nest Mini,Bhai es ke appna battery ha kya ka charg raglar la kar rakha parta ha,Neutral,0.0
youtube,Google Nest Mini,Kya mini nest ko second mobile se connect kar sakte hai,Neutral,0.0
youtube,Google Nest Mini,Price kya hai Iska google mini ka,Neutral,0.0
youtube,Google Nest Mini,bought Google pixel 4a but got this for 1rs on offer will arrive Tomorrow excited 😍,Positive,0.375
youtube,Google Nest Mini,"Sir aapke dwara btaya gaya description bhut Acha lga. Big thanks sir
Ek baat aur puchni h sir aapse
Ise Bluetooth se connect krne ke bad call pr baat kyu nhi ho pa rhi h is speaker ke through",Negative,-0.1666666666666666
youtube,Google Nest Mini,Y porra Wikipedia read kar skta h kya,Neutral,0.0
youtube,Google Nest Mini,Can we use Bluetooth with this,Neutral,0.0
youtube,Google Nest Mini,kya hm iske through ghar me broadcast message de skte hai,Neutral,0.0
youtube,Google Nest Mini,Main isko 499 rupaye mein liya hun,Positive,0.16666666666666666
youtube,Google Nest Mini,Google ke jagah dusra naam set Nahi kar sakte kya ???,Neutral,0.0
youtube,Google Nest Mini,Phone ke wifi se ya hosport ya bluetooth se use kar sakte hai ya nhi... Google mini....plz help me sir,Neutral,0.0
youtube,Google Nest Mini,Bhai Google home ki v connect guide banao naa,Neutral,0.0
youtube,Google Nest Mini,"Mane ve lya hai lay kin 
Woo song play ni krta",Neutral,0.0
youtube,Google Nest Mini,Bhai Radio chl skta ispe direct?,Neutral,0.1
youtube,Google Nest Mini,"Does nest mini has its own hub like nest hub?

In my nest mini Device.. it gives me wifi connection (as a hub does) of its own...
Plzz tell me...",Positive,0.6
youtube,Google Nest Mini,BHAI DO WE NEED ANY KIND OF SUBSCRIPTION TO LISTEN TO MUSIC ON YOUTUBE OR SPOTIFY,Positive,0.6
youtube,Google Nest Mini,Google Nest Mini is unable to extract stock prices from NSE and BSE.. request you to kindly provide the solution,Neutral,0.04999999999999999
youtube,Google Nest Mini,Bhai kitna earn hota hain tumhare channel se,Neutral,0.0
youtube,Google Nest Mini,1300₹ का मिल रहा है। Alexa पहले से है मेरे पास। क्या ये भी ले लूँ सही deal रहेगी।,Neutral,0.0
youtube,Apple HomePod Mini,Google Home is absolute trash.,Positive,0.2
youtube,Apple HomePod Mini,This will be better with the new Gemini based siri,Positive,0.3181818181818182
youtube,Apple HomePod Mini,"Apple wireless mini Express router A1392. 
Any subwoofer can be plugged into the mini jack input of the router, which allows airplay. 
Minis are setup for bass reduction. 
One mini is center speaker across the room facing my couch, other two minis are paired and setup as stereo on left and right sides of my couch. 
Awesome sound. 
Like that I can play any content thru my tv, iPad, iPhone.",Positive,0.18724489795918367
youtube,Apple HomePod Mini,Siri is horrible bro....like you need to be honest on that part,Negative,-0.2
youtube,Apple HomePod Mini,Sound quality is the most important thing to me and it passes 😊,Positive,0.43333333333333335
youtube,Apple HomePod Mini,One of the better purchases I’ve made in a long time,Positive,0.225
youtube,Apple HomePod Mini,here after the studio video,Neutral,0.0
youtube,Apple HomePod Mini,I think this was the most helpful review video I've watch in my life! Thanks!,Positive,0.4375
